Store ID,Store Name,Wine ID,Wine Title,Wine Variety,Units Sold,Gross Margin,Inventory,price,costofgood
0,Yonge and Dundas,101735,Pianetta 2012 Sangiovese (Paso Robles),Sangiovese,606,9980.82,25,34,17.53
0,Yonge and Dundas,75479,Heron Hill 2010 Cabernet Franc (Finger Lakes),Cabernet Franc,1220,8967,12,15,7.65
0,Yonge and Dundas,68055,Wines & Winemakers 2015 Companhia das Lezírias Tyto Alba Vinhas Protegidas Sauvignon Blanc (Tejo),Sauvignon Blanc,872,15111.76,4,23,5.67
0,Yonge and Dundas,123789,Domaine Christian Moreau Père et Fils 2013 Vaillons Premier Cru Cuvée Guy Moreau  (Chablis),Chardonnay,101,3046.16,6,65,34.84
0,Yonge and Dundas,44423,Tamarack Cellars 2014 Cabernet Franc (Wahluke Slope),Cabernet Franc,481,8167.38,7,30,13.02
0,Yonge and Dundas,22473,Chehalem 2012 Three Vineyard Pinot Gris (Willamette Valley),Pinot Gris,882,12356.82,19,22,7.99
0,Yonge and Dundas,25760,Joseph Jewell 2011 Hallberg Vineyard Pinot Noir (Russian River Valley),Pinot Noir,554,11301.6,11,44,23.6
0,Yonge and Dundas,58922,Acrobat 2014 Rosé of Pinot Noir (Oregon),Pinot Noir,1341,11881.26,14,13,4.14
0,Yonge and Dundas,54013,Veritas 2015 Sauvignon Blanc (Monticello),Sauvignon Blanc,740,11803,24,25,9.05
0,Yonge and Dundas,10173,Château de Pizay 2010 Château de Saint-Lager  (Brouilly),Gamay,1224,13194.72,23,15,4.22
0,Yonge and Dundas,57940,Dopff & Irion 2008 Domaines du Château de Riquewihr Les Murailles Riesling (Alsace),Riesling,716,11241.2,11,25,9.3
0,Yonge and Dundas,22825,Bortolin 2008 Extra Dry  (Prosecco di Valdobbiadene),Prosecco,794,16062.62,5,26,5.77
0,Yonge and Dundas,102058,Bosio NV Casa Rossa  (Brachetto d'Acqui),Brachetto,1244,11618.96,25,13,3.66
0,Yonge and Dundas,40274,Les Vins de Vienne 2010 L'Arzelle  (Saint-Joseph),Syrah,366,10815.3,25,49,19.45
0,Yonge and Dundas,108590,Caves Velhas 2015 Lagosta White (Vinho Verde),Portuguese White,2278,10456.02,24,7,2.41
0,Yonge and Dundas,78257,Valle dell'Acate 2006  Cerasuolo di Vittoria,Red Blend,735,15412.95,5,27,6.03
0,Yonge and Dundas,88208,Labouré-Roi 2009 St Amand Vieilles Vignes  (Beaujolais-Villages),Gamay,1344,6276.48,22,11,6.33
0,Yonge and Dundas,29093,Diwald 2014 Alte Weingärten Grüner Veltliner (Wagram),Grüner Veltliner,606,8120.4,13,30,16.6
0,Yonge and Dundas,119580,Château de Pizay 2011  Bourgogne,Chardonnay,1179,10964.7,14,15,5.7
0,Yonge and Dundas,6388,Domaine de Grange Neuve 2015 La Fleur Lily Sauvignon Blanc (Bergerac Sec),Sauvignon Blanc,1366,8496.52,24,12,5.78
0,Yonge and Dundas,93761,William Church 2012 Sur La Mer Red (Columbia Valley (WA)),Bordeaux-style Red Blend,433,8893.82,12,38,17.46
0,Yonge and Dundas,119861,Longevity 2012 Tempranillo (Livermore Valley),Tempranillo,743,12816.75,23,29,11.75
0,Yonge and Dundas,110143,Kandarian 2011 Blue Eye Sauvignon Blanc (Willamette Valley),Sauvignon Blanc,1011,9766.26,18,20,10.34
0,Yonge and Dundas,45014,Dr. Loosen 2014 Erdener Treppchen Spätlese Riesling (Mosel),Riesling,673,15876.07,6,34,10.41
0,Yonge and Dundas,73972,James Charles 2016 Cincinnatus Seyval Blanc (Virginia),Seyval Blanc,264,7455.36,13,45,16.76
0,Yonge and Dundas,53766,Gloria Ferrer 2014 Estate Grown Pinot Noir (Carneros),Pinot Noir,697,8447.64,18,27,14.88
0,Yonge and Dundas,33340,Lusco 2008 Zios de Lusco Albariño (Rías Baixas),Albariño,932,8965.84,24,19,9.38
0,Yonge and Dundas,103480,Stark-Condé 2007 Unfined and Unfiltered Syrah (Stellenbosch),Syrah,714,10731.42,4,27,11.97
0,Yonge and Dundas,54433,Julian Reynolds 2011 Carlos Reynolds Red (Alentejano),Portuguese Red,809,6334.47,8,18,10.17
0,Yonge and Dundas,83589,Kunde 2012 Destination Series Malbec (Sonoma Valley),Malbec,595,15362.9,9,35,9.18
0,Yonge and Dundas,117515,Domaine Emmanuel Giboulot 2009 La Grand Chatelaine  (Côte de Beaune),Chardonnay,137,5649.88,25,55,13.76
0,Yonge and Dundas,51702,Yardstick 2010 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,725,9932.5,5,25,11.3
0,Yonge and Dundas,50824,Hardys 2002 Stamp of Australia Chardonnay (South Eastern Australia),Chardonnay,2893,12729.2,0,6,1.6
0,Yonge and Dundas,27562,Jada Vineyard & Winery 2014 Jersey Girl Syrah (Paso Robles Willow Creek District),Syrah,397,12203.78,18,55,24.26
0,Yonge and Dundas,20890,MacMurray Estate Vineyards 2013 Pinot Gris (Russian River Valley),Pinot Gris,829,8165.65,24,20,10.15
0,Yonge and Dundas,9333,Maray 2010 Red (Limarí Valley),Red Blend,603,9883.17,15,26,9.61
0,Yonge and Dundas,127037,Tarara 2012 Almost Unoaked Chardonnay (Virginia),Chardonnay,822,9058.44,0,20,8.98
0,Yonge and Dundas,37249,Concha y Toro 2012 Casillero del Diablo Reserva Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,1535,7889.9,17,11,5.86
0,Yonge and Dundas,114240,Cave de Turckheim 2015 Pinot Blanc (Alsace),Pinot Blanc,893,12198.38,4,18,4.34
0,Yonge and Dundas,58041,Rocca delle Macìe 2010 Sergio Zingarelli Gran Selezione  (Chianti Classico),Red Blend,194,14685.8,20,130,54.3
